GEOID,NAME,num,den,child_poverty_rate_pct
05009790200,Census Tract 7902; Boone County; Arkansas,132,1451,9.097174362508614
05009790300,Census Tract 7903; Boone County; Arkansas,162,1553,10.431423052157115
05009790400,Census Tract 7904; Boone County; Arkansas,156,1061,14.70311027332705
05009790501,Census Tract 7905.01; Boone County; Arkansas,134,918,14.596949891067538
05009790502,Census Tract 7905.02; Boone County; Arkansas,124,662,18.731117824773413
05009790600,Census Tract 7906; Boone County; Arkansas,224,1174,19.08006814310051
05011950100,Census Tract 9501; Bradley County; Arkansas,297,722,41.13573407202216
05011950200,Census Tract 9502; Bradley County; Arkansas,63,445,14.157303370786517
05011950300,Census Tract 9503; Bradley County; Arkansas,117,538,21.74721189591078
05011950400,Census Tract 9504; Bradley County; Arkansas,55,230,23.91304347826087
05011950500,Census Tract 9505; Bradley County; Arkansas,105,613,17.128874388254488
05013480100,Census Tract 4801; Calhoun County; Arkansas,10,393,2.544529262086514
05013480200,Census Tract 4802; Calhoun County; Arkansas,121,470,25.74468085106383
05015950100,Census Tract 9501; Carroll County; Arkansas,41,473,8.668076109936575
05015950201,Census Tract 9502.01; Carroll County; Arkansas,41,568,7.21830985915493
05015950202,Census Tract 9502.02; Carroll County; Arkansas,0,216,0
05015950301,Census Tract 9503.01; Carroll County; Arkansas,23,749,3.0707610146862483
05015950302,Census Tract 9503.02; Carroll County; Arkansas,547,1460,37.465753424657535
05015950400,Census Tract 9504; Carroll County; Arkansas,55,851,6.462984723854289
05015950501,Census Tract 9505.01; Carroll County; Arkansas,251,593,42.32715008431703
05015950502,Census Tract 9505.02; Carroll County; Arkansas,284,1334,21.28935532233883
05017080100,Census Tract 801; Chicot County; Arkansas,127,534,23.782771535580526
05017080200,Census Tract 802; Chicot County; Arkansas,275,649,42.3728813559322
05017080300,Census Tract 803; Chicot County; Arkansas,147,697,21.09038737446198
05017080400,Census Tract 804; Chicot County; Arkansas,68,333,20.42042042042042
05019953601,Census Tract 9536.01; Clark County; Arkansas,384,973,39.4655704008222
05019953602,Census Tract 9536.02; Clark County; Arkansas,101,618,16.34304207119741
05019953700,Census Tract 9537; Clark County; Arkansas,401,847,47.34356552538371
05019953800,Census Tract 9538; Clark County; Arkansas,117,668,17.51497005988024
05019953901,Census Tract 9539.01; Clark County; Arkansas,20,304,6.578947368421052
05019953902,Census Tract 9539.02; Clark County; Arkansas,24,769,3.120936280884265
05021950100,Census Tract 9501; Clay County; Arkansas,75,359,20.891364902506965
05021950200,Census Tract 9502; Clay County; Arkansas,111,412,26.941747572815533
05021950300,Census Tract 9503; Clay County; Arkansas,65,264,24.62121212121212
05021950400,Census Tract 9504; Clay County; Arkansas,185,718,25.766016713091922
05021950500,Census Tract 9505; Clay County; Arkansas,39,300,13
05021950600,Census Tract 9506; Clay County; Arkansas,280,981,28.54230377166157
05023480100,Census Tract 4801; Cleburne County; Arkansas,175,693,25.252525252525253
05023480201,Census Tract 4802.01; Cleburne County; Arkansas,60,349,17.191977077363898
05023480203,Census Tract 4802.03; Cleburne County; Arkansas,122,335,36.417910447761194
